,SMILES,TR/TE,F-L_class,@-@@_class,R-S_class,SMILES_ns,SMILES_opp
45,CC(=O)N[C@H](CS(C)(=O)=O)c1ccc(Cl)cc1,TE,L,@,S,CC(=O)NC(CS(C)(=O)=O)c1ccc(Cl)cc1,CC(=O)N[C@@H](CS(C)(=O)=O)c1ccc(Cl)cc1
46,CC(=O)N[C@@H](CS(C)(=O)=O)C1CCCCC1,TE,F,@@,R,CC(=O)NC(CS(C)(=O)=O)C1CCCCC1,CC(=O)N[C@H](CS(C)(=O)=O)C1CCCCC1
47,CC(=O)N[C@H](CS(C)(=O)=O)C1CCCCC1,TE,L,@,S,CC(=O)NC(CS(C)(=O)=O)C1CCCCC1,CC(=O)N[C@@H](CS(C)(=O)=O)C1CCCCC1
48,CC(C)(C)[C@@]1(CI)COc2ccccc21,TE,F,@@,S,CC(C)(C)C1(CI)COc2ccccc21,CC(C)(C)[C@]1(CI)COc2ccccc21
49,CC(C)(C)[C@]1(CI)COc2ccccc21,TE,L,@,R,CC(C)(C)C1(CI)COc2ccccc21,CC(C)(C)[C@@]1(CI)COc2ccccc21
50,CC(C)(C)c1ccc(/C=C/[P@](=O)(c2ccccc2)C(C)(C)C)cc1,TE,F,@,R,CC(C)(C)c1ccc(C=CP(=O)(c2ccccc2)C(C)(C)C)cc1,CC(C)(C)c1ccc(/C=C/[P@@](=O)(c2ccccc2)C(C)(C)C)cc1
51,CC(C)(C)c1ccc(/C=C/[P@@](=O)(c2ccccc2)C(C)(C)C)cc1,TE,L,@@,S,CC(C)(C)c1ccc(C=CP(=O)(c2ccccc2)C(C)(C)C)cc1,CC(C)(C)c1ccc(/C=C/[P@](=O)(c2ccccc2)C(C)(C)C)cc1
52,CC(C)(C)c1ccc(COCN2C(=O)[C@](/C=C/c3ccccc3)(CO)c3ccccc32)cc1,TE,F,@,S,CC(C)(C)c1ccc(COCN2C(=O)C(C=Cc3ccccc3)(CO)c3ccccc32)cc1,CC(C)(C)c1ccc(COCN2C(=O)[C@@](/C=C/c3ccccc3)(CO)c3ccccc32)cc1
53,CC(C)(C)c1ccc(COCN2C(=O)[C@@](/C=C/c3ccccc3)(CO)c3ccccc32)cc1,TE,L,@@,R,CC(C)(C)c1ccc(COCN2C(=O)C(C=Cc3ccccc3)(CO)c3ccccc32)cc1,CC(C)(C)c1ccc(COCN2C(=O)[C@](/C=C/c3ccccc3)(CO)c3ccccc32)cc1
54,CC(C)(C)N1C(=O)[C@@H](c2ccsc2)N(C(C)(C)C)C1=O,TE,F,@@,R,CC(C)(C)N1C(=O)C(c2ccsc2)N(C(C)(C)C)C1=O,CC(C)(C)N1C(=O)[C@H](c2ccsc2)N(C(C)(C)C)C1=O
